company1	company2	label
14fc026f-2533-40f4-b3d8-489a7a6263f7::span:0:6	14fc026f-2533-40f4-b3d8-489a7a6263f7::span:36:39	-1
cf959550-c095-40e4-98b8-0301bf10630d::span:52:55	cf959550-c095-40e4-98b8-0301bf10630d::span:21:27	-1
18d25de6-1371-4082-9459-83725b8b4cc3::span:59:62	18d25de6-1371-4082-9459-83725b8b4cc3::span:0:6	-1
18d25de6-1371-4082-9459-83725b8b4cc3::span:59:62	18d25de6-1371-4082-9459-83725b8b4cc3::span:0:6	1
83e7bf10-135d-4449-81fc-ea1e817d4e0c::span:29:35	83e7bf10-135d-4449-81fc-ea1e817d4e0c::span:8:11	1
83e7bf10-135d-4449-81fc-ea1e817d4e0c::span:29:35	83e7bf10-135d-4449-81fc-ea1e817d4e0c::span:108:111	1
83e7bf10-135d-4449-81fc-ea1e817d4e0c::span:80:86	83e7bf10-135d-4449-81fc-ea1e817d4e0c::span:8:11	1
83e7bf10-135d-4449-81fc-ea1e817d4e0c::span:80:86	83e7bf10-135d-4449-81fc-ea1e817d4e0c::span:108:111	1
83e7bf10-135d-4449-81fc-ea1e817d4e0c::span:29:35	83e7bf10-135d-4449-81fc-ea1e817d4e0c::span:80:86	-1
83e7bf10-135d-4449-81fc-ea1e817d4e0c::span:8:11	83e7bf10-135d-4449-81fc-ea1e817d4e0c::span:108:111	-1
2a281cdb-acf9-4fc6-b3eb-2155e0e370ab::span:162:165	2a281cdb-acf9-4fc6-b3eb-2155e0e370ab::span:193:199	1
f9385bda-ec45-4181-8e19-dce89053acf9::span:72:86	f9385bda-ec45-4181-8e19-dce89053acf9::span:24:32	-1
70f247f7-702a-417c-a787-1def7c5afda1::span:98:108	70f247f7-702a-417c-a787-1def7c5afda1::span:8:14	-1
70f247f7-702a-417c-a787-1def7c5afda1::span:98:108	70f247f7-702a-417c-a787-1def7c5afda1::span:65:71	-1
70f247f7-702a-417c-a787-1def7c5afda1::span:8:14	70f247f7-702a-417c-a787-1def7c5afda1::span:65:71	-1
37881ff6-1896-429b-9e77-8c64f9ab994f::span:0:10	37881ff6-1896-429b-9e77-8c64f9ab994f::span:67:73	-1
37881ff6-1896-429b-9e77-8c64f9ab994f::span:39:49	37881ff6-1896-429b-9e77-8c64f9ab994f::span:67:73	-1
37881ff6-1896-429b-9e77-8c64f9ab994f::span:0:10	37881ff6-1896-429b-9e77-8c64f9ab994f::span:39:49	-1
362a667f-a869-489e-9388-615123abeedc::span:40:50	362a667f-a869-489e-9388-615123abeedc::span:56:62	-1
2d327a60-dddf-4d81-b58f-8840aaa16b6f::span:138:148	2d327a60-dddf-4d81-b58f-8840aaa16b6f::span:121:127	-1
9803c6e8-3322-4257-afa1-5fdc6f6dacb8::span:72:82	9803c6e8-3322-4257-afa1-5fdc6f6dacb8::span:21:27	-1
131c1b08-9504-4288-adf6-49d190a55a54::span:11:21	131c1b08-9504-4288-adf6-49d190a55a54::span:0:6	-1
c6acd917-63dc-4de2-8eba-1d95ebd1a5a1::span:11:21	c6acd917-63dc-4de2-8eba-1d95ebd1a5a1::span:0:6	-1
7f864874-9ce9-4476-aa82-4213026ef6cf::span:0:10	7f864874-9ce9-4476-aa82-4213026ef6cf::span:16:22	-1
433d6968-8b7e-44ed-8f63-35d476a0052e::span:65:71	433d6968-8b7e-44ed-8f63-35d476a0052e::span:0:10	-1
ffa0a507-bd77-467c-9efe-191d16a7070d::span:0:23	ffa0a507-bd77-467c-9efe-191d16a7070d::span:43:51	1
ffa0a507-bd77-467c-9efe-191d16a7070d::span:0:23	ffa0a507-bd77-467c-9efe-191d16a7070d::span:208:216	1
ffa0a507-bd77-467c-9efe-191d16a7070d::span:165:188	ffa0a507-bd77-467c-9efe-191d16a7070d::span:43:51	1
ffa0a507-bd77-467c-9efe-191d16a7070d::span:165:188	ffa0a507-bd77-467c-9efe-191d16a7070d::span:208:216	1
